Name,ID,InjuriesPerTurtle,Date,CCL min (cm),CCL max (cm),Body Part ,Injury Type ,Injury Stage,Nature,Source
Tea,2233,0,7/14/22,105.5,105.8,N/A,N/A,N/A,4,N/A
Ivy ,2236,1,7/14/22,103.2,103.2,CAR,Type 2A,Healed/scar,1,Boat
Bonana,2237,0,7/14/22,101.8,102.1,N/A,N/A,N/A,4,N/A
Nubbin ,2238,1,7/14/22,104.5,104.8,RRF,Type 1A,Healed/scar,2,Shark
Sandy ,2239,0,7/15/22,110.1,110.4,N/A,N/A,N/A,4,N/A
Guava,2240,0,7/15/22,109.6,110,N/A,N/A,N/A,4,N/A
Napoli ,2243,0,7/16/22,101.6,102,N/A,N/A,N/A,4,N/A
Andy ,2244,0,7/16/22,102.2,102.6,N/A,N/A,N/A,4,N/A
Forest ,2248,0,7/18/22,94,94.1,N/A,N/A,N/A,4,N/A
Pirato,2249,1,7/18/22,116.8,116.9,LRF,Type 1A,Healed/scar,3,Unknown
Beret,2259,0,7/20/22,104.6,105.1,N/A,N/A,N/A,4,N/A
Cheryl ,1631,0,7/20/22,,,N/A,N/A,N/A,4,N/A
Gator ,2260,0,7/20/22,106.5,107.1,N/A,N/A,N/A,4,N/A
Croc,2261,0,7/20/22,108.8,108.9,N/A,N/A,N/A,4,N/A
Grecko,2262,0,7/21/22,104.5,104.8,N/A,N/A,N/A,4,N/A
Lizarol ,2263,1,7/21/22,116.9,117,LRF,Type 1,Healed/scar,2,Shark
Parakeet,2264,0,7/21/22,98.2,99,N/A,N/A,N/A,4,N/A
Iguana,2266,0,7/25/22,105.1,105.7,N/A,N/A,N/A,4,N/A
Rosie ,2267,0,7/25/22,95,99,N/A,N/A,N/A,4,N/A
Mystery ,2272,0,7/27,110,110.2,N/A,N/A,N/A,4,N/A
Pine ,2268,0,7/27/22,103.2,103.3,N/A,N/A,N/A,4,N/A
Toad,2269,0,7/27/22,102,102.1,N/A,N/A,N/A,4,N/A
Peacock,2271,0,7/27/22,107.4,107.5,N/A,N/A,N/A,4,N/A
Jungle ,2273,1,7/27/22,108.5,109.2,RFF/LFF,Unknown,N/A,3,N/A
Tiny ,2274,0,7/28/22,92,92.3,N/A,N/A,N/A,4,N/A
Beret,2259,0,7/29/22,,,N/A,N/A,N/A,4,N/A
Cactus,2275,0,7/28/22,103.1,103.4,N/A,N/A,N/A,4,N/A
Fern ,2276,0,7/28/22,99,100,N/A,N/A,N/A,4,N/A
Booger,2277,0,7/28/22,,,N/A,N/A,N/A,4,N/A
Leanna,2278,0,7/28/22,,,N/A,N/A,N/A,4,N/A
Kayballl,1104,0,8/4/22,102.9,103,N/A,N/A,N/A,4,N/A
Joan ,757,0,8/3/22,90.9,91.3,N/A,N/A,N/A,4,N/A
Cilantro ,1519,0,8/2/22,102.9,103.4,N/A,N/A,N/A,4,N/A
Lizard ,2263,0,8/2/22,117.3,117.9,N/A,N/A,N/A,4,N/A
Palm ,2285,1,8/3/22,104.9,105.1,LFF,Type 1,Unknown ,3,Unknown
Monster,2286,0,8/3/22,104.1,104.6,N/A,N/A,N/A,4,N/A
Algae,2287,0,8/3/22,96.7,98.1,N/A,N/A,N/A,4,N/A
Goop,2288,0,8/3/22,110.3,111,N/A,N/A,N/A,4,N/A
Slime ,2289,0,8/3/22,108.4,108.5,N/A,N/A,N/A,4,N/A
Muriel,2290,0,8/3/22,104,104.2,N/A,N/A,N/A,4,N/A
Lantern,2291,0,8/4/22,100.5,101,N/A,N/A,N/A,4,N/A
Muriel (2),2290,0,,,,,,,,
Pistachio ,2292,3,8/4/22,97.4,97.4,CAR,Type 2,Healed/scar,3,Unknown
Pistachio 2,,,,,,CAR,Type 2,Healed/scar,3,Unknown
,,,,,,CAR,Type 2,Healed/scar,1,Boat
Cya,2293,0,8/4/22,104.9,105.4,N/A,N/A,N/A,4,N/A
Finale ,2295,0,8/4/22,108.7,109.7,N/A,N/A,N/A,4,N/A
Arun ,2296,1,8/4/22,105.2,105.5,CAR,Type 2,Healed/scar,3,Unknown
Jernathan ,2338,0,5/24/23,107.3,107.8,N/A,N/A,N/A,4,N/A
Melinda,2345,1,5/29/23,106.8,107,RRF,Type 1A,Stage 5 (scar),3,Unknown 
Army ,2346,1,5/30/23,115.3,115.4,CAR,Type 2A,Stage 5 (scar),1,Boat 
Muti ,761,0,5/30/23,98.2,98.5,N/A,N/A,N/A,4,N/A
Tooty ,2348,0,5/31/23,100.9,101.2,N/A,N/A,N/A,4,N/A
Analise ,2347,3,5/30/23,106.1,16.1,CAR,Type 1,Stage 5 (scar),3,Unknown 
Analise 2,,,,,,RRF,Type 1,Stage 5 (scar),3,Unknown 
Analise 3,,,,,,LRF,Type 1,Stage 5 (scar),3,Unknown 
Kiefer,756,0,6/3/23,112.5,112.6,N/A,N/A,N/A,4,N/A
Sage,2353,1,6/4/23,95.5,96,LRF,Type 1,Stage 5 (scar),3,Unknown 
Alina ,2351,1,6/3/23,106.1,106.1,CAR,Type 2,Stage 5 (scar),3,Unknown 
Sarga,2354,2,6/4/23,95.9,96,LRF,Type 1A,Stage 5 (scar),3,Unknown 
Sarga 2,,,,,,RRF,Type 1A,Stage 5 (scar),3,Unknown 
Jernathan ,2338,0,6/6/23,,,N/A,N/A,N/A,4,N/A
Mint ,2359,0,6/8/23,100.3,100.5,N/A,N/A,N/A,4,N/A
